index	original	translation	scores	mean	z_scores	z_mean	model_scores	normalised_z_mean
6314	Näiteks noolt tuleb vibust lasta ja kaarikuid hobustega vedada.	For example, agitation and cards must be taken from a node with horses.	[23, 34, 46]	34.333333333333336	[-1.674693889577723, -1.0846758681280848, -0.9111712880504766]	-1.2235136819187615	-0.5573775768280029	0.3701315793008049
1201	Plahvatuses ja selle tagajärjel puhkenud tulekahjus hukkus 301 kaevurit, veel sajad kaevurid jäid toimunud varingute tõttu kaevandusse lõksu.	In the fire that broke out and broke out as a result, 301 miners died, and hundreds more were trapped in mines due to the theft that took place.	[52, 54, 29]	45.0	[-0.31935520912680904, -0.3597293555905065, -1.12785038341693]	-0.6023116493780819	-0.4058310091495514	0.5203304086895656
3178	Ta külastas Mars Society rahakogumisüritust ja annetas ühingule 5000 dollarit.	He visited the Mars Society's financial collection event and donated USD 5 000 to the Society.	[98, 82, 100]	93.33333333333333	[1.027056832443855, 0.5808699337445091, 1.32209936924058]	0.9766753784763148	-0.4962519407272339	0.9021095896651817
4423	Karineem saabub Sumbergi büroosse kihlveopakkumisega.	The penalty arrives by betting the Sumberg Office.	[17, 9, 1]	9.0	[-1.8908339473394493, -2.6041396923861053, -2.016289862523797]	-2.17042116741645	-0.5418542623519897	0.14118127261954977
2843	Teoses UNTITLED 12 kujutatakse seksuaalseid toiminguid lastega pealetükkivalt, kuid neid ei kujutata labaselt.	In the case of UNTITLED 12, sexual activities with children are intrusive, but they are not portrayed.	[41, 47, 35]	41.0	[-1.2079710891507676, -0.8698144240265682, -1.5101665306408727]	-1.1959840146060694	-0.4057648181915283	0.376787906207716
3547	Ameerika Ühendriikide Kongressi Esindajatekoja spiiker Nancy Pelosi alustas ametlikku visiiti Süürias.	Nancy Pelosa, Speaker of the United States Congress of Representatives, has launched a formal visit to Syria.	[100, 85, 96]	93.66666666666667	[1.1249782957469103, 0.711760740297822, 1.156671913144946]	0.9978036497298928	-0.3340173363685608	0.9072181396103846
2620	Kuidas tuleks röntgenikiirte avastamist dateerida?	How should the detection of X-ray drugs be carried out?	[28, 23, 20]	23.666666666666668	[-1.9904477032327081, -1.318230271796973, -1.59213842690439]	-1.633605467311357	-0.4272845089435577	0.27097654940498583
6402	Ameerika Ühendriikide Kongressi Esindajatekoda kiitis heaks seaduseelnõu, millega kaotati maksuvabastused naftatööstuse ettevõtetele.	The House of Deputies in the United States Congress approved a draft law abolishing tax exemptions for companies in the oil industry.	[95, 99, 69]	87.66666666666667	[1.3203785039155547, 1.322790976880102, 0.5179885193921083]	1.0537193333959218	-0.3483045101165771	0.9207378478392205
4077	Herpesviridae sugukonda kuuluvad viirused mõjutasid nüüdisinimeste eelkäijaid esimest korda üle 80 miljoni aasta tagasi.	For the first time, viruses belonging to the family of Hercuvirigists affected today's predecessors more than 80 million years ago.	[39, 52, 26]	39.0	[-1.5211769842301526, -0.6300169437293796, -1.3128904044537102]	-1.1546947774710807	-0.4311092793941498	0.38677112383929085
5722	Stuartite ajal lisatud suurtükiplatvormid olid juba lagunenud.	Large stem platforms included in the Students' maps had already collapsed.	[27, 33, 38]	32.666666666666664	[-1.1913103462102776, -1.557013239959602, -1.2420262002417441]	-1.3301165954705414	-0.577049732208252	0.34435633713132596
1961	Kui kahju teevad loodusjõud või õnnetused, siis me ei tunne viha solvangu pärast.	When natural forces or accidents damage, we do not feel insulted by hatred.	[51, 46, 49]	48.666666666666664	[-0.4297907926901062, -0.9898197448952459, -0.9860892034759697]	-0.8018999136871073	-0.4641739130020141	0.4720724795640888
1597	Vanaisa kasvatas juurvilja ning müüs seda Valga turul ja linna kauplustes.	Old father grew crops and sold it on the market in the White and in urban shops.	[16, 23, 35]	24.666666666666668	[-1.6880982215310614, -1.318230271796973, -1.3660967923134697]	-1.457475095213835	-0.5993196368217468	0.31356265557185875
5116	Esimeses maailmasõjas osales Portugal alates 1916. aastast Antandi poolel.	Portugal participated in the First World War since 1916 on the side of Antwerp.	[41, 45, 48]	44.666666666666664	[-1.0262737162925444, -1.0253280200336006, -0.5772133093517801]	-0.8762716818926416	-0.2803651988506317	0.45409032248975256
3831	Albaaniasse toodi Prantsusmaalt tagasi riigi viimase kuninga Zog I säilmed.	Albania was returned to Zog I, the country's last art, from France.	[25, 33, 42]	33.333333333333336	[-1.6026472036571477, -1.1209231937549637, -1.0765987441461105]	-1.2667230471860742	-0.3662513196468353	0.3596840988647895
6758	Aga see tähendab nihkumist idealisti positsioonile.	But that means moving to a position of idealism.	[97, 99, 71]	89.0	[1.3828654818291002, 1.322790976880102, 0.5710441829157504]	1.0922335472083178	-0.4568719863891601	0.9300500997740553
1934	Sellepärast jäid naised kodu lähedale, mehed aga käisid jahil.	As a result, women stayed close to home, while men went to hunt.	[100, 100, 82]	94.0	[1.0991035183644302, 1.1249782957469103, 0.5808699337445091]	0.93498391595195	-0.4270157217979431	0.8920291189992154
101	Türgis İstanbulis algasid rahvusvahelised läbirääkimised Süüria kriisi lahendamiseks, millel osalesid enam kui 70 riigi välisministrid.	In Istanbul, Turkey, international negotiations on the resolution of the Syrian crisis were launched, with the participation of foreign ministers from more than 70 countries.	[100, 82, 100]	94.0	[1.1249782957469103, 0.5808699337445091, 1.32209936924058]	1.0093158662439998	-0.4273146688938141	0.9100016486034521
5168	pisiSelliseid värvipigmente kasutati laevatöökodades, kus Vasa ehitati.	These tiny colours were used in the shipyards where the Left was built.	[100, 98, 95]	97.66666666666667	[1.0991035183644302, 1.2789542353621781, 0.7358791572087113]	1.0379789703117732	-0.4875223040580749	0.9169320262456823
